basket,n,term_m,prot_bar,coupon,status
MSFT/T/NVDA/MRVL/ADBE/PEP,6,60,0.6,22.1,ok
MSFT/T/NVDA/MRVL/ADBE/PEP,6,60,0.6,20.3,ok
MSFT/T/NVDA/MRVL/ADBE/PEP,6,60,0.6,17.8,ok
NVDA/GOOG/TTWO/MSFT/AAPL/TSLA,6,60,0.6,8.3,ok
FUTU/SE/TME/TEAM/LI/BIDU,6,60,0.6,1.1,ok
FUTU/SE/TME/TEAM/LI/BIDU,6,60,0.6,17.9,ok
NVDA/AVGO/ORCL/AAPL/GOOG/NBIS,6,36,0.6,27.9,ok
NVDA/AVGO/ORCL/AAPL/GOOG/NBIS,6,36,0.6,20.0,ok
NVDA/AVGO/ORCL/AAPL/GOOG/NBIS,6,36,0.6,13.7,ok
NVDA/AVGO/ORCL/AAPL/GOOG/NBIS,6,36,0.6,,reject_margin
NVDA/AVGO/ORCL/AAPL/GOOG/NBIS,6,36,0.6,,reject_margin
NVDA/AVGO/ORCL/AAPL/GOOG/NBIS,6,36,0.6,,reject_margin
NVDA/AVGO/ORCL/AAPL/GOOG/NBIS,6,36,0.6,43.6,ok
NVDA/AVGO/ORCL/AAPL/GOOG/NBIS,6,36,0.6,22.8,ok
NVDA/AVGO/ORCL/AAPL/GOOG/NBIS,6,36,0.6,,reject_margin
NVDA/AVGO/ORCL/AAPL/GOOG/NBIS,6,36,0.6,,reject_margin
NVDA/AVGO/ORCL/AAPL/GOOG/NBIS,6,36,0.6,,reject_margin
NVDA/AVGO/ORCL/AAPL/GOOG/NBIS,6,36,0.6,,reject_margin
NVDA/AVGO/ORCL/AAPL/GOOG/NBIS,6,36,0.6,,reject_margin
NVDA/AVGO/ORCL/AAPL/GOOG/NBIS,6,36,0.6,46.2,ok
BABA/BKNG/DT/LI/MOS/ZG,6,36,0.6,43.9,ok
BABA/BKNG/DT/LI/MOS/ZG,6,36,0.6,43.9,ok
NVDA/AVGO/ORCL/AAPL/GOOG/NBIS,6,36,0.6,33.3,ok
NVDA/AVGO/ORCL/AAPL/GOOG/NBIS,6,36,0.6,32.0,ok
AMD/MBLY/MRVL/NIO/ROKU/TEAM,6,36,0.6,23.1,ok
MDB/MRVL/TEAM,3,48,0.65,51.7,ok
MBLY/MDB/MRVL/NIO/ROKU/TEAM,6,36,0.6,23.5,ok
CHTR/LW/MOS/NIO/PDD/XPEV,6,36,0.6,45.2,ok
NVDA/AVGO/ORCL/AAPL/GOOG/NBIS,6,36,0.6,,no_coupon
MDB/NFLX/NIO/PFE/TEAM/UNH,6,60,0.6,40.6,ok
NVDA/AVGO/ORCL/AAPL/GOOG/NBIS,6,36,0.6,4.2,ok
NVDA/AVGO/ORCL/AAPL/GOOG/NBIS,6,36,0.6,11.6,ok
NVDA/AVGO/ORCL/AAPL/GOOG/NBIS,6,36,0.6,11.3,ok
NVDA/ORCL/GOOG/AVGO/MDB/TEAM,6,60,0.6,21.0,ok
NBIS/TEAM/MU/INTC/CF/CHTR,6,60,0.6,36.7,ok
AMZN/CRM/T/PM/PEP/LLY,6,60,0.65,18.1,ok
T/MSFT/GOOG/AMZN/TEAM/CRM,6,60,0.65,16.5,ok
NBIS/TEAM/MU/INTC/CF/CHTR,6,60,0.6,27.1,ok
NBIS/TEAM/MU/INTC/CF/CHTR,6,60,0.6,27.8,ok
NBIS/TEAM/MU/INTC/CF/CHTR,6,60,0.6,28.4,ok
